order;name;price
1;wasser 0,5;1,80
2;wasser 1,0l;2,00
3;Fuzetea;2,50
4;Cola;2,10
5;Cola-Zero;2,10
6;Sprite;2,10
7;Fanta;2,10
8;Lift;2,10
9;o-saft;2,00
10;RedBull;2,50
11;Capri Sonne;1,20
12;kakao/vanillemilch;2,00
