order;name;price
1;Brötchen;0,45
2;Mohnbrötchen;0,75
3;Sesambrötchen;0,75
4;Kartoffel;1,10
5;Wellenreiter;1,30
6;Roggen;1,00
7;Mehrkorn;1,00
8;Lauge;1,00
9;Laugenecke;1,50
10;Dinkelbrötchen;1,20
11;Käsebrötchen;1,20
