order;name;price
1;Käse;0,40
2;Salami;0,40
3;Fleischwurst;0,40
4;Schinken;0,60
5;Ei;1,00
6;Leberwurst;0,90
7;Frischkäse;1,30
8;Rohrschinken;0,60
9;Brie;2,10
10;Putenbrust;0,4
11;Mett;1,40
12;Rührei;1,20
13;Mozzarella;1,9
14;Thunfisch;2,20
15;Frikadelle;2,40
16;Lachs;2,7
17;Schnitzel;2,90
